product,mark,side,avg,std,n,t_stat
HYDROGEL_PACK,Mark 14,sell,8.111366022438546,4.159675359759061,507,43.907482942622636
HYDROGEL_PACK,Mark 38,buy,-7.991302108454652,4.285476175251212,515,-42.317702280748705
HYDROGEL_PACK,Mark 14,buy,8.064364133246752,4.514479829495635,496,39.78352406105864
HYDROGEL_PACK,Mark 38,sell,-7.919967951256295,4.59122602662316,507,-38.84174477198905
VELVETFRUIT_EXTRACT,Mark 55,sell,-4.805288573336984,4.2309232415089495,600,-27.820181080156466
VELVETFRUIT_EXTRACT,Mark 55,buy,-4.373036151066712,4.244853833695882,598,-25.192479807957238
VELVETFRUIT_EXTRACT,Mark 01,buy,5.515870617033302,4.218088289296083,260,21.0855570442364
VELVETFRUIT_EXTRACT,Mark 14,buy,4.5698647969947155,3.946935415680339,316,20.581966765997414
VELVETFRUIT_EXTRACT,Mark 01,sell,5.120579546294366,4.033940311388562,244,19.82825805775665
VELVETFRUIT_EXTRACT,Mark 14,sell,4.191935614440015,4.189436240017101,331,18.204259396552565
VELVETFRUIT_EXTRACT,Mark 67,buy,2.1886778484967535,3.7141309303796217,165,7.569489748935602
VELVETFRUIT_EXTRACT,Mark 49,sell,-2.186489106127339,3.724464235536346,105,-6.015589036141574
VELVETFRUIT_EXTRACT,Mark 22,sell,-1.5937212723332128,3.861776841077719,101,-4.147495109327314
HYDROGEL_PACK,Mark 22,buy,1.409012836050235,3.1801461953442516,11,1.4694817832006326
VELVETFRUIT_EXTRACT,Mark 22,buy,0.9239303993796001,4.902175817457533,25,0.9423676687495754
VELVETFRUIT_EXTRACT,Mark 49,buy,-0.6229336442238069,4.706320456729132,17,-0.545738701072372
HYDROGEL_PACK,Mark 22,sell,0.3822515597253961,5.529280293769458,8,0.19553551684152115
